,397,7864,1293,4839,7859,2518,7314,9164,1803,7273,3822,5262,6182,2950,3199,3319,7863,3875,3874,Label
CWN_AAO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_ABO,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0
CWN_ACO,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0
CWN_ADO,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_AEO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_AFO,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0
CWN_AGO,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
CWN_AHO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_AIO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_AJO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_AKO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_ALO,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_AMO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_ANO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_APO,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
CWN_AQO,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
CWN_ARO,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
CWN_ASO,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
CWN_ATO,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1
CWN_AUO,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
CWN_AVO,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
CWN_AWO,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
CWN_AZO,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
CWN_BAO,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0
CWN_BDO,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
CWN_BIO,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
CWN_BJO,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
CWN_BKO,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
CWN_BLO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_BMO,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
CWN_BNO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
CWN_BOO,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0
CWN_BQO,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0
CWN_BRO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_BSO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CWN_BTO,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0
